Date,Open,High,Low,Close,Change (Pips),Change (%)
Jun 21 2017 19:00,0.88126,0.88155,0.88104,0.88147,2.1,0.02%
Jun 21 2017 18:00,0.88111,0.88137,0.88071,0.88127,1.6,0.02%
Jun 21 2017 17:00,0.88055,0.88164,0.87994,0.88109,5.4,0.06%
Jun 21 2017 16:00,0.87974,0.88098,0.87973,0.88058,8.4,0.10%
Jun 21 2017 15:00,0.87975,0.88042,0.87938,0.87974,-0.1,0.00%
Jun 21 2017 14:00,0.87868,0.88064,0.87841,0.87975,10.7,0.12%
Jun 21 2017 13:00,0.87773,0.87903,0.87757,0.87872,9.9,0.11%
Jun 21 2017 12:00,0.87771,0.87811,0.87705,0.87767,-0.4,0.00%
Jun 21 2017 11:00,0.88156,0.88162,0.87725,0.87772,-38.4,-0.44%
Jun 21 2017 10:00,0.88306,0.88325,0.88093,0.88161,-14.5,-0.16%
Jun 21 2017 09:00,0.88377,0.88457,0.88272,0.88306,-7.1,-0.08%
Jun 21 2017 08:00,0.88382,0.88435,0.88281,0.88375,-0.7,-0.01%
Jun 21 2017 07:00,0.88272,0.88429,0.88252,0.88384,11.2,0.13%
Jun 21 2017 06:00,0.88161,0.88315,0.88137,0.88275,11.4,0.13%
Jun 21 2017 05:00,0.88141,0.88167,0.88106,0.88158,1.7,0.02%
Jun 21 2017 04:00,0.88151,0.88162,0.88136,0.88144,-0.7,-0.01%
Jun 21 2017 03:00,0.88171,0.88173,0.88146,0.88149,-2.2,-0.02%
Jun 21 2017 02:00,0.88169,0.88178,0.88147,0.88172,0.3,0.00%
Jun 21 2017 01:00,0.88222,0.88222,0.88164,0.88168,-5.4,-0.06%
Jun 21 2017 00:00,0.88157,0.88233,0.88151,0.88223,6.6,0.07%
Jun 20 2017 23:00,0.88181,0.88184,0.88127,0.88154,-2.7,-0.03%
Jun 20 2017 22:00,0.88184,0.88218,0.88155,0.88182,-0.2,0.00%
Jun 20 2017 21:00,0.88165,0.88197,0.8813,0.88182,1.7,0.02%
Jun 20 2017 20:00,0.88083,0.88179,0.88083,0.88176,9.3,0.11%
Jun 20 2017 19:00,0.88115,0.88138,0.88074,0.88082,-3.3,-0.04%
Jun 20 2017 18:00,0.88146,0.88151,0.88107,0.88118,-2.8,-0.03%
Jun 20 2017 17:00,0.88116,0.8816,0.88092,0.88144,2.8,0.03%
Jun 20 2017 16:00,0.88102,0.88171,0.88088,0.88118,1.6,0.02%
Jun 20 2017 15:00,0.88181,0.88265,0.88103,0.88103,-7.8,-0.09%
Jun 20 2017 14:00,0.88258,0.88279,0.88121,0.88183,-7.5,-0.09%
Jun 20 2017 13:00,0.88138,0.88345,0.88091,0.88256,11.8,0.13%
Jun 20 2017 12:00,0.87976,0.88196,0.87976,0.88137,16.1,0.18%
Jun 20 2017 11:00,0.88029,0.88045,0.87936,0.8798,-4.9,-0.06%
Jun 20 2017 10:00,0.87875,0.88109,0.87868,0.88027,15.2,0.17%
Jun 20 2017 09:00,0.8791,0.87947,0.87817,0.87872,-3.8,-0.04%
Jun 20 2017 08:00,0.88038,0.88045,0.87839,0.87911,-12.7,-0.14%
