20160101 032400,1.093910,1.094220,1.093790,1.093790,0
20160101 032500,1.093800,1.094160,1.093790,1.093790,0
20160101 032600,1.093800,1.093940,1.093680,1.093820,0
20160101 032700,1.093820,1.093860,1.093590,1.093610,0
20160101 032800,1.093610,1.093710,1.093480,1.093700,0
20160101 032900,1.093700,1.094170,1.093670,1.094130,0
20160101 033000,1.094120,1.094510,1.094120,1.094280,0
20160101 033100,1.094260,1.094300,1.093690,1.093690,0
20160101 033200,1.093710,1.093720,1.093360,1.093380,0
20160101 033300,1.093400,1.093420,1.093160,1.093190,0
20160101 033400,1.093180,1.093220,1.092900,1.092910,0
20160101 033500,1.092910,1.092990,1.092600,1.092650,0
20160101 033600,1.092660,1.092810,1.092630,1.092810,0
20160101 033700,1.092810,1.092900,1.092600,1.092810,0
20160101 033800,1.092840,1.092900,1.092590,1.092780,0
20160101 033900,1.092770,1.092890,1.092700,1.092810,0
20160101 034000,1.092820,1.092890,1.092400,1.092400,0
20160101 034100,1.092420,1.092510,1.092190,1.092410,0
20160101 034200,1.092410,1.092630,1.092190,1.092620,0
20160101 034300,1.092680,1.092820,1.092470,1.092620,0
20160101 034400,1.092610,1.092670,1.092360,1.092370,0
20160101 034500,1.092380,1.092590,1.092350,1.092360,0
20160101 034600,1.092370,1.092780,1.092370,1.092770,0
20160101 034700,1.092760,1.092920,1.092760,1.092910,0
20160101 034800,1.092910,1.092920,1.092700,1.092710,0
20160101 034900,1.092700,1.092700,1.092470,1.092610,0
20160101 035000,1.092610,1.092770,1.092610,1.092710,0
20160101 035100,1.092720,1.093430,1.092720,1.093060,0
20160101 035200,1.093050,1.093540,1.093050,1.093540,0
20160101 035300,1.093550,1.093630,1.093210,1.093210,0
20160101 035400,1.093220,1.093230,1.092870,1.093200,0
20160101 035500,1.093250,1.093260,1.092090,1.092180,0
20160101 035600,1.092190,1.092320,1.091910,1.092160,0
20160101 035700,1.092150,1.092380,1.091920,1.091960,0
20160101 035800,1.091970,1.092210,1.091900,1.092110,0
20160101 035900,1.092110,1.092500,1.092080,1.092390,0
20160101 040000,1.092400,1.092630,1.092390,1.092590,0
20160101 040100,1.092590,1.092620,1.092320,1.092430,0
20160101 040200,1.092450,1.092450,1.091880,1.092000,0
20160101 040300,1.092050,1.092070,1.091900,1.092020,0
20160101 040400,1.092020,1.092250,1.091930,1.092110,0
20160101 040500,1.092110,1.092420,1.092080,1.092390,0
20160101 040600,1.092420,1.092710,1.092350,1.092370,0
20160101 040700,1.092390,1.092500,1.092380,1.092400,0
20160101 040800,1.092400,1.092520,1.092370,1.092390,0
20160101 040900,1.092380,1.092900,1.092380,1.092700,0
20160101 041000,1.092720,1.092730,1.092600,1.092670,0
20160101 041100,1.092660,1.092690,1.092620,1.092670,0
20160101 041200,1.092670,1.092690,1.092330,1.092390,0
20160101 041300,1.092370,1.092580,1.092280,1.092300,0
20160101 041400,1.092310,1.092310,1.092210,1.092280,0
20160101 041500,1.092300,1.092400,1.092240,1.092240,0
20160101 041600,1.092230,1.092300,1.091900,1.091900,0
20160101 041700,1.091900,1.092020,1.091800,1.092000,0
20160101 041800,1.092010,1.092060,1.091890,1.091970,0
20160101 041900,1.091960,1.091980,1.091730,1.091850,0
20160101 042000,1.091860,1.092060,1.091800,1.091820,0
20160101 042100,1.091830,1.091880,1.091470,1.091510,0
20160101 042200,1.091490,1.091760,1.091370,1.091710,0
20160101 042300,1.091720,1.091910,1.091710,1.091910,0
20160101 042400,1.091900,1.091980,1.091730,1.091910,0
20160101 042500,1.091900,1.092240,1.091900,1.092100,0
20160101 042600,1.092120,1.092140,1.091730,1.091760,0
20160101 042700,1.091770,1.091840,1.091680,1.091730,0
20160101 042800,1.091740,1.091830,1.091740,1.091810,0
20160101 042900,1.091830,1.091850,1.091710,1.091840,0
20160101 043000,1.091780,1.091940,1.091750,1.091790,0
20160101 043100,1.091790,1.092020,1.091750,1.091920,0
20160101 043200,1.091900,1.092080,1.091890,1.091900,0
20160101 043300,1.091910,1.092120,1.091860,1.091900,0
20160101 043400,1.091900,1.092020,1.091690,1.091770,0
20160101 043500,1.091770,1.091780,1.091480,1.091620,0
20160101 043600,1.091610,1.091910,1.091590,1.091810,0
20160101 043700,1.091800,1.091820,1.091390,1.091680,0
20160101 043800,1.091700,1.091720,1.091460,1.091520,0
20160101 043900,1.091500,1.091620,1.091270,1.091410,0
20160101 044000,1.091440,1.091740,1.091420,1.091460,0
20160101 044100,1.091430,1.091560,1.091280,1.091470,0
