Date,Open,High,Low,Close,Change (Pips),Change (%)
Jun 30 2017 04:00,1.30185,1.30244,1.30149,1.30243,5.8,0.04%
Jun 30 2017 03:00,1.30176,1.30199,1.30151,1.30179,0.3,0.00%
Jun 30 2017 02:00,1.30227,1.30297,1.30173,1.30176,-5.1,-0.04%
Jun 30 2017 01:00,1.30172,1.30249,1.30137,1.30226,5.4,0.04%
Jun 30 2017 00:00,1.3008,1.30223,1.30036,1.30171,9.1,0.07%
Jun 29 2017 23:00,1.30093,1.30118,1.30079,1.30081,-1.2,-0.01%
Jun 29 2017 22:00,1.30049,1.30134,1.30041,1.30095,4.6,0.04%
Jun 29 2017 21:00,1.30043,1.30073,1.29905,1.30036,-0.7,-0.01%
Jun 29 2017 20:00,1.2998,1.30098,1.29959,1.30043,6.3,0.05%
Jun 29 2017 19:00,1.29916,1.30017,1.299,1.29978,6.2,0.05%
Jun 29 2017 18:00,1.30046,1.30103,1.29879,1.29911,-13.5,-0.10%
Jun 29 2017 17:00,1.29884,1.30155,1.2986,1.30051,16.7,0.13%
Jun 29 2017 16:00,1.29828,1.29902,1.29788,1.29887,5.9,0.05%
Jun 29 2017 15:00,1.29943,1.29979,1.29772,1.29827,-11.6,-0.09%
Jun 29 2017 14:00,1.29818,1.30002,1.29777,1.29943,12.5,0.10%
Jun 29 2017 13:00,1.29673,1.29933,1.2964,1.29816,14.3,0.11%
Jun 29 2017 12:00,1.29713,1.2979,1.2957,1.29676,-3.7,-0.03%
Jun 29 2017 11:00,1.2965,1.29844,1.29583,1.29708,5.8,0.04%
Jun 29 2017 10:00,1.29688,1.29713,1.29543,1.29653,-3.5,-0.03%
Jun 29 2017 09:00,1.29755,1.30075,1.29583,1.29688,-6.7,-0.05%
Jun 29 2017 08:00,1.29767,1.29881,1.29661,1.29752,-1.5,-0.01%
Jun 29 2017 07:00,1.2967,1.29949,1.2967,1.29774,10.4,0.08%
Jun 29 2017 06:00,1.2961,1.29791,1.29543,1.2967,6,0.05%
Jun 29 2017 05:00,1.29541,1.29642,1.29515,1.29608,6.7,0.05%
Jun 29 2017 04:00,1.29568,1.29572,1.29503,1.2954,-2.8,-0.02%
Jun 29 2017 03:00,1.29593,1.29614,1.29504,1.29573,-2,-0.02%
Jun 29 2017 02:00,1.29612,1.29759,1.29561,1.29592,-2,-0.02%
Jun 29 2017 01:00,1.29442,1.29623,1.29422,1.29614,17.2,0.13%
Jun 29 2017 00:00,1.29399,1.29466,1.2938,1.29442,4.3,0.03%
Jun 28 2017 23:00,1.2934,1.29441,1.29339,1.29396,5.6,0.04%
Jun 28 2017 22:00,1.29279,1.2935,1.29277,1.2934,6.1,0.05%
Jun 28 2017 21:00,1.29224,1.29286,1.29222,1.29276,5.2,0.04%
Jun 28 2017 20:00,1.2931,1.29313,1.29243,1.2925,-6,-0.05%
Jun 28 2017 19:00,1.29351,1.29351,1.29256,1.29307,-4.4,-0.03%
Jun 28 2017 18:00,1.29228,1.29389,1.29224,1.29348,12,0.09%
